country,Company,Number of locations,Number of employees
albania,conad,3410,32000
albania,crai,3444,18000
albania,spar,13623,410000
algeria,carrefour,13894,319565
andorra,caprabo,,
andorra,leclerc,1494,133000
argentina,jumbo chile,,25769
argentina,casino,10800,196307
argentina,walmart,10586,2300000
argentina,carrefour,13894,319565
argentina,metro ag,674,91201
argentina,cencosud,1471,126530
argentina,champion,1000,45000
argentina,makro shv holdings,107,6655
armenia,carrefour,13894,319565
canada,coop atlantic,,
australia,woolworths supermarkets,995,225000
australia,action supermarkets,80,
australia,flemings,100,
australia,aldi sd,7178,201361
australia,bilo,180,13600
australia,safeway,904,250000
australia,coles,846,120000
australia,food for less,,
australia,iga australia,1400,
australia,aldi,12596,274172
australia,ikea,445,219000
australia,eg group,,50000
australia,iga,,
australia,four square supermarkets,224,
australia,safeway australia,187,
australia,roelf vos,,
australia,big w,177,18000
australia,spar,13623,410000
australia,myer,57,14000
australia,aeon,20008,560000
australia,costco,861,316000
australia,franklins,85,
australia,romeos retail group,39,
australia,7eleven,83485,170000
australia,kmart australia,325,40000
australia,foodland,96,7000
austria,rewe group,12109,363633
austria,ikea,445,219000
austria,penny,3844,43773
austria,metro ag,674,91201
austria,aldi sd,7178,201361
austria,aldi,12596,274172
austria,norma,1300,14679
austria,billa,3645,76174
austria,plus,4243,27700
austria,mpreis,257,6100
austria,metro,773,118000
austria,lidl,12200,360000
austria,julius meinl,,845
austria,mediamarkt,1006,
austria,spar,13623,410000
azerbaijan,migros trk,1156,26779
bahrain,lulu hypermarket,238,57000
bahrain,ikea,445,219000
bahrain,carrefour,13894,319565
belarus,kesko,2000,22476
belgium,aldi,12596,274172
belgium,inno,16,
belgium,eg group,,50000
belgium,champion,1000,45000
belgium,albert heijn,1056,100000
belgium,carrefour,13894,319565
belgium,colruyt,,24287
belgium,lidl,12200,360000
belgium,ikea,445,219000
belgium,ahold,1056,100000
belgium,gb,58,
belgium,leader price,215,
belgium,intermarch,,100000
belgium,spar,13623,410000
belgium,mediamarkt,1006,
belgium,ahold delhaize,7659,375000
belgium,metro,773,118000
belgium,aldi nord,5241,72811
belgium,delhaize group,3534,
belgium,cora,80,
bosnia,konzum,700,10000
bosnia,mercator,1428,20300
botswana,spar,13623,410000
brazil,cencosud,1471,126530
